Integrated Platform,Customer Segment,Customer Subscription,Account ARR in USD
Excel,Enterprise,Premium,50338.44
Excel,Strategic,Premium,77374.146
Sharepoint,Growth,Enterprise,86671.2
Sharepoint,Strategic,Enterprise,78345.792
Sharepoint,Enterprise,Premium,932.64
Sharepoint,Growth,Enterprise,51890.16
Power Bi,Enterprise,Premium,82656
Excel,Self-Serve,Enterprise,14070
Sharepoint,Strategic,Enterprise,228540.859
Power Bi,Enterprise,Enterprise,125078.28
Outlook Calendar,Enterprise,Enterprise,0
Google Sheets,Enterprise,Enterprise,0
Proprietary Customer Platform,Enterprise,Enterprise,0
Sharepoint,Enterprise,Enterprise,177282
Amazon S3,Strategic,Premium,127595.4
Email,Strategic,Enterprise,33685.59
Email,Strategic,Enterprise,200911.56
Oracle,Enterprise,Premium,25607.4
Sharepoint,Growth,Enterprise,111300
Paycom,Growth,Enterprise,111300
Proprietary,Growth,Enterprise,14496.12
Power Bi,Strategic,Enterprise,55620.72
Azure Ad,Enterprise,Enterprise,39580.94
Email,Enterprise,Enterprise,82656
Salesforce,Strategic,Premium,43524
SafetyCulture,Strategic,Enterprise,34511.7
Email,Strategic,Enterprise,432391.2
Excel,Growth,Enterprise,47514.6
Oracle,Strategic,Enterprise,49920.36
SAP Maintenance,Strategic,Premium,43524
